"ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID","SPOT_ID.1"
"TC1100013134.hg.1",9.21e-18,3.78e-22,-39.07236,36.73584,-6.2975938,"Multiple_Complex","Multiple_Complex"
"TC1600011312.hg.1",9.78e-16,8.04e-20,-30.644964,33.11039,-7.4491075,"Multiple_Complex","Multiple_Complex"
"TC0100009866.hg.1",7.3e-14,9e-18,24.68895,29.45589,5.2744581,"Multiple_Complex","Multiple_Complex"
"TC1600011306.hg.1",2.93e-13,4.81e-17,22.848333,28.06905,2.8856694,"Multiple_Complex","Multiple_Complex"
"TC0800007027.hg.1",1.35e-12,2.77e-16,-21.062168,26.57809,-3.8746712,"Multiple_Complex","Multiple_Complex"
"TC1100007030.hg.1",4.42e-12,1.09e-15,19.750879,25.38047,4.5078244,"Multiple_Complex","Multiple_Complex"
"TC0500006950.hg.1",4.42e-12,1.4e-15,19.520731,25.16047,3.8635719,"Coding","Coding"
"TC1600006445.hg.1",4.42e-12,1.63e-15,-19.382713,25.02706,-4.969475,"Multiple_Complex","Multiple_Complex"
"TC1600006446.hg.1",4.42e-12,1.63e-15,-19.379182,25.02363,-4.9768375,"Multiple_Complex","Multiple_Complex"
"TC0200015650.hg.1",8.1e-12,3.33e-15,18.740394,24.39132,4.1895513,"Multiple_Complex","Multiple_Complex"
"TC0100011417.hg.1",8.65e-12,3.91e-15,-18.5983,24.24728,-4.39914,"Multiple_Complex","Multiple_Complex"
"TC1200010538.hg.1",1.06e-11,5.25e-15,18.341072,23.98332,4.6010406,"Coding","Coding"
"TC0900010959.hg.1",1.11e-11,5.91e-15,-18.238255,23.87664,-4.211655,"Multiple_Complex","Multiple_Complex"
"TC0X00006483.hg.1",1.65e-11,1.03e-14,17.764658,23.37634,3.4109594,"Multiple_Complex","Multiple_Complex"
"TC0100009656.hg.1",1.65e-11,1.07e-14,17.728001,23.33699,4.1864431,"Multiple_Complex","Multiple_Complex"
"TC0400011538.hg.1",1.65e-11,1.09e-14,17.718525,23.32681,3.0508356,"Multiple_Complex","Multiple_Complex"
"TC1200007461.hg.1",6.15e-11,4.3e-14,16.591338,22.07078,4.812585,"Multiple_Complex","Multiple_Complex"
"TC0X00011336.hg.1",1.24e-10,9.67e-14,15.955902,21.32177,3.5734119,"Multiple_Complex","Multiple_Complex"
"TC0Y00007332.hg.1",1.24e-10,9.67e-14,15.955902,21.32177,3.5734119,"Multiple_Complex","Multiple_Complex"
"TC1100008999.hg.1",1.36e-10,1.12e-13,15.843861,21.18648,4.1313294,"Multiple_Complex","Multiple_Complex"
"TC0100008033.hg.1",3.17e-10,2.74e-13,-15.171313,20.3531,-3.1656863,"Multiple_Complex","Multiple_Complex"
"TC0500012567.hg.1",3.84e-10,3.47e-13,-14.99624,20.13002,-3.7972925,"Multiple_Complex","Multiple_Complex"
"TC0300006491.hg.1",4.02e-10,3.79e-13,14.931511,20.04688,2.1840663,"Multiple_Complex","Multiple_Complex"
"TC0600014055.hg.1",5.07e-10,5e-13,14.731538,19.78776,2.4854906,"Multiple_Complex","Multiple_Complex"
"TC1700008225.hg.1",5.16e-10,5.3e-13,14.690062,19.73358,2.3895906,"Multiple_Complex","Multiple_Complex"
"TC1000012162.hg.1",6.12e-10,6.53e-13,-14.539974,19.53625,-2.5479013,"Multiple_Complex","Multiple_Complex"
"TC1100011744.hg.1",9.78e-10,1.08e-12,14.181732,19.05712,3.124225,"Multiple_Complex","Multiple_Complex"
"TC0500011596.hg.1",1.29e-09,1.48e-12,13.965859,18.76274,3.6649031,"Coding","Coding"
"TC1200010050.hg.1",1.6e-09,1.91e-12,13.792109,18.52263,2.7768506,"Multiple_Complex","Multiple_Complex"
"TC0400007542.hg.1",1.98e-09,2.44e-12,13.624518,18.28832,4.9671156,"Multiple_Complex","Multiple_Complex"
"TC1200007356.hg.1",2.05e-09,2.61e-12,13.577917,18.22269,2.1603025,"Multiple_Complex","Multiple_Complex"
"TC0900009776.hg.1",2.58e-09,3.39e-12,13.40325,17.97481,2.1178756,"Multiple_Complex","Multiple_Complex"
"TC0200015318.hg.1",3.25e-09,4.4e-12,13.229954,17.72591,4.1145169,"Multiple_Complex","Multiple_Complex"
"TC1100009917.hg.1",4.47e-09,6.24e-12,-13.000676,17.39198,-2.058,"Multiple_Complex","Multiple_Complex"
"TC0100010416.hg.1",4.65e-09,6.68e-12,-12.955631,17.32574,-2.87726,"Multiple_Complex","Multiple_Complex"
"TC0500011712.hg.1",4.82e-09,7.13e-12,-12.913466,17.26356,-3.357155,"Multiple_Complex","Multiple_Complex"
"TC0Y00006858.hg.1",5.76e-09,8.83e-12,12.775376,17.05861,2.6967187,"Multiple_Complex","Multiple_Complex"
"TC0100018310.hg.1",5.76e-09,9.13e-12,12.753728,17.02631,2.9406906,"Multiple_Complex","Multiple_Complex"
"TC0X00008884.hg.1",5.76e-09,9.23e-12,12.746919,17.01613,2.7882375,"Multiple_Complex","Multiple_Complex"
"TC0400012019.hg.1",6.55e-09,1.1e-11,-12.634743,16.84786,-2.101475,"Multiple_Complex","Multiple_Complex"
"TC0100018045.hg.1",6.55e-09,1.1e-11,12.633286,16.84566,3.8903187,"Multiple_Complex","Multiple_Complex"
"TC0900008953.hg.1",6.55e-09,1.13e-11,12.617382,16.82169,3.8313419,"Multiple_Complex","Multiple_Complex"
"TC1200011246.hg.1",7.64e-09,1.35e-11,12.505271,16.65198,3.0005644,"Multiple_Complex","Multiple_Complex"
"TC1100013133.hg.1",7.75e-09,1.4e-11,-12.480974,16.61503,-2.1581187,"Multiple_Complex","Multiple_Complex"
"TC0100007954.hg.1",7.84e-09,1.45e-11,12.459965,16.58302,2.4745125,"Multiple_Complex","Multiple_Complex"
"TC0600009353.hg.1",8.16e-09,1.54e-11,12.421016,16.52356,2.4892244,"Multiple_Complex","Multiple_Complex"
"TC1400010651.hg.1",8.9e-09,1.72e-11,-12.352883,16.41915,-4.892535,"Multiple_Complex","Multiple_Complex"
"TC0600010825.hg.1",9.59e-09,1.89e-11,12.292382,16.32602,2.6907688,"Multiple_Complex","Multiple_Complex"
"TC2000006446.hg.1",1.05e-08,2.11e-11,12.224511,16.22106,1.944115,"Multiple_Complex","Multiple_Complex"
"TC0900008150.hg.1",1.16e-08,2.39e-11,-12.1476,16.10152,-2.0588687,"Multiple_Complex","Multiple_Complex"
"TC1600009362.hg.1",1.37e-08,2.88e-11,-12.032214,15.92096,-2.2665825,"Multiple_Complex","Multiple_Complex"
"TC0800006980.hg.1",1.56e-08,3.33e-11,11.943508,15.78114,2.7347587,"Multiple_Complex","Multiple_Complex"
"TC1000009104.hg.1",1.82e-08,3.96e-11,-11.836272,15.61095,-2.4259325,"Multiple_Complex","Multiple_Complex"
"TC1200006721.hg.1",1.98e-08,4.39e-11,11.773868,15.5113,2.2987662,"Coding","Coding"
"TC1100009004.hg.1",2.04e-08,4.6e-11,11.746445,15.46738,1.9569719,"Coding","Coding"
"TC0400007831.hg.1",2.15e-08,4.94e-11,11.702637,15.39702,2.4734656,"Multiple_Complex","Multiple_Complex"
"TC0700009499.hg.1",2.16e-08,5.06e-11,11.688408,15.37413,2.5085287,"Coding","Coding"
"TC1000010593.hg.1",2.64e-08,6.28e-11,11.55928,15.16527,2.8250694,"Multiple_Complex","Multiple_Complex"
"TC0X00010107.hg.1",2.68e-08,6.5e-11,-11.539095,15.13245,-2.7589719,"Multiple_Complex","Multiple_Complex"
"TC2000006444.hg.1",2.72e-08,6.71e-11,11.520043,15.10143,2.938335,"Multiple_Complex","Multiple_Complex"
"TC1200007881.hg.1",3.94e-08,9.86e-11,11.291987,14.72679,2.3980844,"Multiple_Complex","Multiple_Complex"
"TC0700012917.hg.1",4.36e-08,1.11e-10,11.222248,14.611,2.1121494,"Multiple_Complex","Multiple_Complex"
"TC1400010195.hg.1",5.05e-08,1.31e-10,11.127708,14.45312,1.5607063,"Multiple_Complex","Multiple_Complex"
"TC0600007374.hg.1",6.11e-08,1.62e-10,-11.004193,14.24523,-1.6863062,"Coding","Coding"
"TC0200007200.hg.1",6.11e-08,1.63e-10,-10.999722,14.23766,-3.5203937,"Multiple_Complex","Multiple_Complex"
"TC1200011245.hg.1",6.69e-08,1.81e-10,10.93869,14.13423,5.1622094,"Multiple_Complex","Multiple_Complex"
"TC1800007963.hg.1",8.47e-08,2.33e-10,10.795012,13.88892,4.1429669,"Multiple_Complex","Multiple_Complex"
"TC0600014256.hg.1",8.72e-08,2.44e-10,-10.769709,13.84546,-2.2936375,"Multiple_Complex","Multiple_Complex"
"TC0200013836.hg.1",8.72e-08,2.47e-10,10.761982,13.83217,1.8518038,"Multiple_Complex","Multiple_Complex"
"TC1500009561.hg.1",8.76e-08,2.52e-10,10.750915,13.81313,2.4327444,"Multiple_Complex","Multiple_Complex"
"TC0300007745.hg.1",9.61e-08,2.8e-10,10.6907,13.70924,1.5245375,"Multiple_Complex","Multiple_Complex"
"TC1700011436.hg.1",1.04e-07,3.07e-10,10.638185,13.61827,2.1304244,"Multiple_Complex","Multiple_Complex"
"TC0700012636.hg.1",1.05e-07,3.23e-10,-10.610347,13.5699,-2.4446312,"Multiple_Complex","Multiple_Complex"
"TSUnmapped00000484.hg.1",1.05e-07,3.24e-10,10.607807,13.56549,1.84085,"Coding","Coding"
"TC1700008342.hg.1",1.05e-07,3.25e-10,10.607733,13.56536,2.1103875,"Multiple_Complex","Multiple_Complex"
"TC1700009256.hg.1",1.07e-07,3.33e-10,-10.593646,13.54084,-2.3246375,"Multiple_Complex","Multiple_Complex"
"TC0100011316.hg.1",1.08e-07,3.41e-10,-10.579262,13.51579,-3.86118,"Multiple_Complex","Multiple_Complex"
"TC0900012245.hg.1",1.28e-07,4.1e-10,10.476768,13.33649,2.7757056,"Multiple_Complex","Multiple_Complex"
"TC1000008474.hg.1",1.32e-07,4.28e-10,10.452477,13.2938,1.8208613,"Multiple_Complex","Multiple_Complex"
"TC0200007458.hg.1",1.42e-07,4.68e-10,10.40324,13.20705,2.1131638,"Multiple_Complex","Multiple_Complex"
"TC0100017446.hg.1",1.53e-07,5.1e-10,10.355509,13.12266,2.2081944,"Multiple_Complex","Multiple_Complex"
"TC0300011403.hg.1",1.7e-07,5.77e-10,10.287614,13.00212,1.7230575,"Multiple_Complex","Multiple_Complex"
"TC0500012870.hg.1",1.7e-07,5.79e-10,10.285485,12.99833,1.7464469,"Multiple_Complex","Multiple_Complex"
"TC1100010893.hg.1",1.73e-07,5.96e-10,10.269447,12.96976,1.72106,"Multiple_Complex","Multiple_Complex"
"TC0100007552.hg.1",1.8e-07,6.29e-10,10.240308,12.91778,1.6626894,"Multiple_Complex","Multiple_Complex"
"TC0600014249.hg.1",1.98e-07,6.99e-10,-10.182159,12.81372,-1.7768863,"Coding","Coding"
"TC0600008678.hg.1",2.16e-07,7.7e-10,10.129298,12.71874,1.798915,"Coding","Coding"
"TC1100009191.hg.1",2.29e-07,8.29e-10,10.089227,12.6465,2.6831681,"Multiple_Complex","Multiple_Complex"
"TC1000007936.hg.1",2.49e-07,9.11e-10,10.038426,12.55462,1.4005231,"Multiple_Complex","Multiple_Complex"
"TC0400009132.hg.1",2.55e-07,9.44e-10,10.019133,12.51964,2.6347325,"Multiple_Complex","Multiple_Complex"
"TC0400012018.hg.1",2.64e-07,9.86e-10,-9.995514,12.47675,-3.1366,"Multiple_Complex","Multiple_Complex"
"TC0600007375.hg.1",2.65e-07,1e-09,-9.98731,12.46184,-1.4849825,"Coding","Coding"
"TC0200015976.hg.1",2.67e-07,1.02e-09,9.977933,12.44478,2.2417,"Multiple_Complex","Multiple_Complex"
"TC1000009851.hg.1",2.68e-07,1.03e-09,-9.969856,12.43008,-1.7830569,"Multiple_Complex","Multiple_Complex"
"TC1000010827.hg.1",3.2e-07,1.25e-09,9.869191,12.24612,1.9565244,"Multiple_Complex","Multiple_Complex"
"TC0200016424.hg.1",3.89e-07,1.53e-09,-9.758767,12.04279,-2.0350787,"Multiple_Complex","Multiple_Complex"
"TC0100017716.hg.1",3.96e-07,1.58e-09,9.74404,12.01555,2.8616444,"Multiple_Complex","Multiple_Complex"
"TC1200010352.hg.1",4.34e-07,1.75e-09,9.689596,11.91461,1.3784588,"Multiple_Complex","Multiple_Complex"
"TC0200014819.hg.1",5.4e-07,2.19e-09,9.569235,11.69004,4.8032275,"Multiple_Complex","Multiple_Complex"
"TC1600010181.hg.1",5.52e-07,2.27e-09,-9.551765,11.65728,-1.7375462,"Multiple_Complex","Multiple_Complex"
"TC1000009612.hg.1",5.7e-07,2.36e-09,9.529976,11.61637,1.4108213,"Multiple_Complex","Multiple_Complex"
"TC0100015953.hg.1",5.93e-07,2.49e-09,-9.503707,11.56696,-2.904925,"Coding","Coding"
"TC1100012510.hg.1",6.18e-07,2.61e-09,9.477846,11.51823,1.4807188,"Multiple_Complex","Multiple_Complex"
"TC1000006768.hg.1",6.27e-07,2.68e-09,9.465212,11.4944,3.2149569,"Unassigned","Unassigned"
"TC1600011483.hg.1",6.46e-07,2.78e-09,9.444469,11.45521,3.0972856,"Multiple_Complex","Multiple_Complex"
"TC2100007599.hg.1",6.77e-07,2.96e-09,9.412945,11.39554,3.5273687,"Multiple_Complex","Multiple_Complex"
"TC2100007600.hg.1",6.77e-07,2.97e-09,9.410272,11.39048,2.1809425,"Multiple_Complex","Multiple_Complex"
"TC1300006989.hg.1",7e-07,3.1e-09,9.388026,11.34828,1.7445056,"Multiple_Complex","Multiple_Complex"
"TC0400012496.hg.1",7.83e-07,3.51e-09,9.324917,11.22822,1.731475,"Multiple_Complex","Multiple_Complex"
"TC0600011123.hg.1",8.16e-07,3.68e-09,-9.29928,11.17929,-1.2019544,"Coding","Coding"
"TC0100010074.hg.1",8.54e-07,3.92e-09,-9.267567,11.11865,-1.902815,"Multiple_Complex","Multiple_Complex"
"TC0100018483.hg.1",8.54e-07,3.93e-09,-9.266308,11.11624,-1.422925,"Coding","Coding"
"TC0800008235.hg.1",9.34e-07,4.34e-09,9.215012,11.01784,1.9865756,"Multiple_Complex","Multiple_Complex"
"TC0400007836.hg.1",9.34e-07,4.37e-09,9.211142,11.0104,2.66754,"Multiple_Complex","Multiple_Complex"
